Date,Day,Day_Number,No_of_Students,Food_Prepared,Food_Consumed,Waste,Event,Special,Menu_Type
01-04-2026,Wednesday,3,120,133,118,15,0,0,Veg
02-04-2026,Thursday,4,125,130,122,8,0,0,Non-Veg
03-04-2026,Friday,5,130,175,140,35,1,0,Non-Veg
04-04-2026,Saturday,6,95,102,88,14,0,0,Veg
05-04-2026,Sunday,7,85,105,86,19,0,1,Special
06-04-2026,Monday,1,118,121,115,6,0,0,Veg
07-04-2026,Tuesday,2,128,146,130,16,0,0,Non-Veg
08-04-2026,Wednesday,3,115,140,112,28,0,0,Veg
09-04-2026,Thursday,4,130,140,128,12,0,0,Veg
10-04-2026,Friday,5,122,170,135,35,1,0,Non-Veg
11-04-2026,Saturday,6,98,103,95,8,0,0,Non-Veg
12-04-2026,Sunday,7,88,105,85,20,0,1,Special
13-04-2026,Monday,1,125,133,126,7,0,0,Veg
14-04-2026,Tuesday,2,124,140,122,18,0,0,Non-Veg
15-04-2026,Wednesday,3,120,132,118,14,0,0,Veg
16-04-2026,Thursday,4,118,143,115,28,0,0,Non-Veg
17-04-2026,Friday,5,132,180,140,40,1,0,Non-Veg
18-04-2026,Saturday,6,90,105,88,17,0,0,Veg
19-04-2026,Sunday,7,84,95,85,10,0,1,Special
20-04-2026,Monday,1,116,130,115,15,0,0,Veg
21-04-2026,Tuesday,2,123,129,120,9,0,0,Non-Veg
22-04-2026,Wednesday,3,115,128,112,16,0,0,Veg
23-04-2026,Thursday,4,122,148,123,25,0,0,Non-Veg
24-04-2026,Friday,5,127,135,126,9,0,0,Veg
25-04-2026,Saturday,6,95,135,98,37,1,0,Non-Veg
26-04-2026,Sunday,7,89,102,87,15,0,1,Special
27-04-2026,Monday,1,121,124,118,6,0,0,Veg
28-04-2026,Tuesday,2,118,135,115,20,0,0,Non-Veg
29-04-2026,Wednesday,3,124,149,122,27,0,0,Veg
30-04-2026,Thursday,4,126,165,132,33,1,0,Non-Veg
01-05-2026,Friday,5,129,140,128,12,0,0,Veg
02-05-2026,Saturday,6,92,97,90,7,0,0,Non-Veg
03-05-2026,Sunday,7,85,100,82,18,0,1,Special
04-05-2026,Monday,1,120,133,118,15,0,0,Veg
05-05-2026,Tuesday,2,125,132,123,9,0,0,Non-Veg
06-05-2026,Wednesday,3,118,145,115,30,0,0,Veg
07-05-2026,Thursday,4,122,136,120,16,0,0,Non-Veg
08-05-2026,Friday,5,135,182,145,37,1,0,Non-Veg
09-05-2026,Saturday,6,96,104,95,9,0,0,Veg
10-05-2026,Sunday,7,88,105,86,19,0,1,Special
11-05-2026,Monday,1,119,130,118,12,0,0,Veg
12-05-2026,Tuesday,2,121,125,119,6,0,0,Non-Veg
13-05-2026,Wednesday,3,125,150,123,27,0,0,Veg
14-05-2026,Thursday,4,128,145,126,19,0,0,Non-Veg
15-05-2026,Friday,5,130,140,132,8,0,0,Veg
16-05-2026,Saturday,6,90,105,89,16,0,0,Non-Veg
17-05-2026,Sunday,7,82,90,81,9,0,1,Special
18-05-2026,Monday,1,126,170,135,35,1,0,Veg
19-05-2026,Tuesday,2,122,136,120,16,0,0,Non-Veg
20-05-2026,Wednesday,3,115,120,114,6,0,0,Veg
21-05-2026,Thursday,4,120,146,118,28,0,0,Non-Veg
22-05-2026,Friday,5,128,168,130,38,1,0,Non-Veg
23-05-2026,Saturday,6,95,110,93,17,0,0,Veg
24-05-2026,Sunday,7,85,93,84,9,0,1,Special
25-05-2026,Monday,1,118,131,116,15,0,0,Veg
26-05-2026,Tuesday,2,124,130,122,8,0,0,Non-Veg
27-05-2026,Wednesday,3,122,145,120,25,0,0,Veg
28-05-2026,Thursday,4,119,135,118,17,0,0,Non-Veg
29-05-2026,Friday,5,125,138,124,14,0,0,Veg
30-05-2026,Saturday,6,98,140,102,38,1,0,Non-Veg
31-05-2026,Sunday,7,86,105,85,20,0,1,Special
01-06-2026,Monday,1,121,125,119,6,0,0,Veg
02-06-2026,Tuesday,2,126,145,124,21,0,0,Non-Veg
03-06-2026,Wednesday,3,120,134,118,16,0,0,Veg
04-06-2026,Thursday,4,124,165,128,37,1,0,Non-Veg
05-06-2026,Friday,5,130,140,132,8,0,0,Veg
06-06-2026,Saturday,6,92,110,90,20,0,0,Non-Veg
07-06-2026,Sunday,7,88,96,87,9,0,1,Special
08-06-2026,Monday,1,118,145,116,29,0,0,Veg
09-06-2026,Tuesday,2,122,136,120,16,0,0,Non-Veg
10-06-2026,Wednesday,3,125,132,124,8,0,0,Veg
11-06-2026,Thursday,4,121,135,120,15,0,0,Non-Veg
12-06-2026,Friday,5,132,175,138,37,1,0,Non-Veg
13-06-2026,Saturday,6,90,105,89,16,0,0,Veg
14-06-2026,Sunday,7,84,92,83,9,0,1,Special
15-06-2026,Monday,1,120,134,118,16,0,0,Veg
16-06-2026,Tuesday,2,123,129,122,7,0,0,Non-Veg
17-06-2026,Wednesday,3,119,146,118,28,0,0,Veg
18-06-2026,Thursday,4,126,165,130,35,1,0,Non-Veg
19-06-2026,Friday,5,128,142,126,16,0,0,Veg
20-06-2026,Saturday,6,95,112,94,18,0,0,Non-Veg
21-06-2026,Sunday,7,85,93,84,9,0,1,Special
22-06-2026,Monday,1,122,145,120,25,0,0,Veg
23-06-2026,Tuesday,2,118,135,117,18,0,0,Non-Veg
24-06-2026,Wednesday,3,124,130,123,7,0,0,Veg
25-06-2026,Thursday,4,120,135,119,16,0,0,Non-Veg
26-06-2026,Friday,5,130,144,129,15,0,0,Veg
27-06-2026,Saturday,6,92,130,95,35,1,0,Non-Veg
28-06-2026,Sunday,7,88,106,87,19,0,1,Special
29-06-2026,Monday,1,119,126,118,8,0,0,Veg
30-06-2026,Tuesday,2,125,155,124,31,0,0,Non-Veg
01-07-2026,Wednesday,3,121,136,120,16,0,0,Veg
02-07-2026,Thursday,4,123,130,122,8,0,0,Non-Veg
03-07-2026,Friday,5,132,180,142,38,1,0,Non-Veg
04-07-2026,Saturday,6,90,105,89,16,0,0,Veg
05-07-2026,Sunday,7,85,93,84,9,0,1,Special
06-07-2026,Monday,1,120,135,119,16,0,0,Veg
07-07-2026,Tuesday,2,122,150,121,29,0,0,Non-Veg
08-07-2026,Wednesday,3,118,125,117,8,0,0,Veg
09-07-2026,Thursday,4,126,168,132,36,1,0,Non-Veg
